key,title,keywords,abstract_preview,suggested_category,notes
DécSul_2017,Sulitest: A collaborative initiative to support and assess sustainability literacy in higher education,Sulitest; Sustainability literacy; Higher education; Education for sustainable development; Principles for responsible management education; Sustainable development goals; ENVIRONMENTAL SUSTAINABILITY; KEY COMPETENCES,"This paper highlights the contribution of the Sulitest (the Sustainability Literacy Test) to the global agenda of integrating sustainability into higher education. The Sustainability Literacy Test is an open online training and assessment tool developed as an international collaborative initiative, ",,
KraSus_2021,Sustainability in Brandenburg Study Programs. Perspectives for Anchoring Sustainability in Higher Education Curricula,higher education; sustainability; transformation; curricula; sustainability courses; education for sustainable development (ESD); education policy; governance; regional development; monitoring and evaluation; document analysis; UNIVERSITY CURRICULA; IMPLEMENTATION; INSTITUTIONS; FRAMEWORK; ESD; curriculum; integrated approach; university sector; Brandenburg [Germany]; Germany,"The study investigates the extent to which sustainability is anchored in university curricula of a federal state (Brandenburg, Germany). (1) It provides a baseline for identifying opportunities for sustainability-related curriculum reform by analyzing study programs, levels, type of degree, level of",,
FahUsi_2017,Using system dynamics to develop education for sustainable development in higher education with the emphasis on the sustainability competencies of students,Education for sustainable development; Future; Higher education; Mechanism; System dynamics; Education computing; Planning; Students; Surveys; System theory; Education for sustainable development; Future; High educations; International calls; Literature reviews; Research designs; Research method; Research questions; System Dynamics; University graduates; Sustainable development; academic research; educational development; higher education; research method; student; sustainable development; KEY COMPETENCES,"In response to growing concerns of the community about sustainability challenges and the intensification of the international calls to move towards a sustainable future, higher education should be involved in implementing the programs of education for sustainable development; because of this fact th",,
AlbEdu_2022,Education for sustainable development at Chemnitz University of Technology,Education for sustainable development; Higher education institution; Curriculum; Sustainable development goals; Sustainability dimensions; Chemnitz University of Technology; STAND-ALONE COURSES; MANAGEMENT EDUCATION; KEY COMPETENCES; CURRICULUM; ETHICS; CSR; PROGRAM,Purpose: This paper aims to examine the current state of education for sustainable development (ESD) at Chemnitz University of Technology (CUT) and to propose a guide for analysing sustainability at higher education institutions (HEI) in terms of implementation of the sustainable development goals (,,
MorInc_2026,Incorporation of the SDGs in the industrial engineering curriculum and its contribution to the institutional educational model,Sustainable development goals; Education for sustainable development; Industrial engineering; UN Agenda 2030; Curriculum; SUSTAINABILITY; INTEGRATION,"Purpose: Quality education is both a fundamental objective and a powerful mechanism for advancing the Sustainable Development Goals (SDGs). Higher education institutions, in particular, play a vital role in fostering individuals who actively contribute to global sustainability. The purpose of this s",,
KågTow_2025,Towards an attitude-inclusive understanding of environmental assessment competence in higher education,Environmental Impact Assessment (EIA); Strategic Environmental Assessment (SEA); education; teaching; change agency; key competencies in sustainability; IMPACT ASSESSMENT; KEY COMPETENCES; SUSTAINABLE DEVELOPMENT; environmental impact assessment; higher education; sustainability,This paper brings together competence frameworks from Education for Sustainable Development (ESD) and Environmental Assessment (EA) teaching–including EIA and SEA–to explore how attitudes can be more fully integrated into EA competence development in higher education. While existing EA teaching fram,,
BibTra_2017,Transdisciplinary learning and teaching as answers to urban sustainability challenges,Service learning; Higher education; Education for sustainable development; Science-society interfaces; Transdisciplinary learning and teaching; Urban sustainability challenges; UNIVERSITIES; FRAMEWORK; SCIENCE; CITIES,"Purpose: This paper aims to explain the relevance of science-society interfaces and their potential for higher education institutions to engage stakeholders in supporting sustainable change in cities, via the transdisciplinary learning and teaching approach of the Regional Centre of Expertise on Edu",,
CicIns_2017,"Insights into responsible education for sustainable development: The case of UWE, Bristol",Axioms of education for sustainable development; Management education; Sustainable universities; Pedagogic complexities; MANAGEMENT EDUCATION; BUSINESS SCHOOLS; PRINCIPLES; UK,"In this paper, we argue that it is opportune to revisit profound questions about the purpose, nature and value of higher education in society at a juncture where the context of higher education has been significantly influenced by the global sustainability agenda and responsible management education",,
KopCri_2025,Critical Thinking in Sustainable Business: Examining Pragmatic and Ethical Issues for Supporting Biodiversity (Eco-centrism) in Business Education,Biodiversity; Business education; Eco-literacy; Education for Sustainable Development Goals (ESDGs); Environmental education; Curricula; Marketing; Sustainable development; Sustainable development goals; Teaching; Business and management; Business educations; Business schools; Critical thinking; Eco-literacy; Education for sustainable development; Education for sustainable development goal; Environmental education; Management education; Ontology's; Ontology,This research aims to examine the case for mainstreaming the positioning of ecocentric perspectives in university business school settings. We argue for an urgent need to reorient anthropocentric normative framings of sustainability in business and management education to ecocentric ontologies and e,,
PujGre_2025,Green Skills in Logistics Vocational Education: A Comparative Study of Curriculum Integration in China and Germany,comparative analysis; curriculum integration; green skills; logistics vocational education and training; SUSTAINABLE DEVELOPMENT; IMPACT,"The logistics sector plays a pivotal role in driving economic growth while addressing environmental sustainability challenges. As the industry transitions towards greener practices, the integration of ‘green skills’ into logistics vocational education and training becomes crucial for equipping the w",,
VanMap_2025,Mapping pedagogies of education for sustainable development in Scottish higher education institutions,Sustainable Development Goals; quality education; education for sustainable development; education for sustainable development pedagogy; Scottish higher education; actor-network theory; ESD; actor–network theory,"Sustainable Development Goal (SDG) target 4.7 promotes education for sustainable development (ESD), urging higher education institutions (HEIs) to prepare students to address global sustainability challenges. Currently, the target indicators do not assess how ESD is enacted in HEIs, making ESD provi",,
VenEff_2022,EffSET: a Self-Evaluation Tool to Assess the Effectiveness of Education for Sustainable Development,Education for Sustainable Development; Higher Education Institution; Sustainability teaching; Social Responsibility teaching; Evaluation; RCTs; RECENT METHODOLOGICAL DEVELOPMENTS,"Education for Sustainable Development (ESD) plays a prominent part in the process of building the ethical, responsible, and sustainable consciousness of future generations and in addressing the sustainability challenge that society is facing. Nevertheless, very few methodologies have been developed ",,
ZhoHow_2025,How UK universities approach sustainability: A timely review,Sustainable development goals; sustainable development; education for sustainable development; Russell Group Universities; higher education; EDUCATION,"This article aims to explore the definitions and approaches of sustainable development (SD) in UK higher education institutions (UKHEI). Specifically, the article investigates how SD and education for sustainable development (ESD) are defined and enacted from the official websites of the 24 Russell ",,
GwiSee_2023,Seeing the wood for the trees: a heuristic framework to enable the integration of sustainability education in higher education settings,Higher education institutions; education for sustainable development; heuristic framework; tools,"This paper puts forward a conceptual framework to support the dual challenges of strategic and practical integrative action of Education for Sustainable Development (ESD) across Higher Education Institutions (HEIs). There are numerous existing resources and toolkits providing appropriate actions, gu",,
TraA f_2019,A framework for mapping sustainability within tertiary curriculum,Case study; Graduate attributes; Curriculum assessment tool; Education for sustainable development competencies; Tertiary education for sustainable development; HIGHER-EDUCATION; KEY COMPETENCES,Purpose: Sustainability within tertiary curriculum is hard to measure and often perceived to be illusive in nature. Existing higher education sustainability assessment tools rarely focus on the curriculum. This paper aims to establish and implement a tool that can measure sustainability integration ,,
CirMap_2018,Mapping higher education for sustainable development in Portugal,Circular economy; Education; Higher education institutions; Portugal; Social responsibility; Sustainability; Sustainable development,"Education for Sustainable Development (ESD) addresses sustainable development issues, in the economic, environmental, and social dimensions. The positive role of higher education institutions (HEIs), such as Universities and Polytechnic Institutes, in educating decision makers and leaders, and there",,
GarThe_2023_257,The integration of sustainability and the Sustainability Development Goals (SDGs) in the geographical teaching of tourism: a didactic and methodological proposal for University,Sustainability; SDG; university teaching; tourism; geography; sustainable tourism pedagogy (STP); COMPETENCES; EDUCATION,The purpose of this paper is to address the increasingly interesting and topical issue of integrating sustainability and the Sustainable Development Goals (SDGs) into University teaching. The relevance of the issue is underpinned both by the global challenge of achieving the 2030 Agenda and the impo,,
MpoTra_2022,Transforming Curricula in Higher Education: Description of Two Perspectives From the Global South and the Global North,global learning for sustainable development (GLSD); sustainable development goals; North-South-perspective; transformational imperatives; higher education; SUSTAINABILITY,"The paper is part of the broader narrative of transforming curricula in universities in Zimbabwe and Austria. The landscape in higher education globally is inexorably shifting as a result of major global forces of change. For that reason, higher education cannot remain immune to these global challen",,
CarMap_2025,Mapping Green Skills in Collective Skill Formation Systems: A Natural Language Processing Analysis of Danish Vocational Education and Training,green skills; green transition; natural language processing; political economy; vocational education; COMPETENCES; BASE,"Vocational education plays a vital role in fostering green skills that are central for achieving climate goals, sustaining economic competitiveness, and promoting social inclusion. Expectations are especially high for collective vocational education systems, in which both employers and the state are",,
de Pro_2025,Promoting Sustainability in HEIs: Implementing the ESG Agenda as a Strategy to Achieve the SDGs of the United Nations,Education for sustainable development; ESG; Higher education institutions; Sustainable development; Sustainable development goals,"In this chapter, we address the essential nature of integrating Environmental, Social, and Governance (ESG) principles into Higher Education Institutions (HEIs) as catalysts for advancing the Sustainable Development Goals (SDGs) of the United Nations. A “SUSTAINABLE HEI - ESG Framework” is proposed ",,
SatPro_2026,Promoting sustainability through competencies? An explorative case study on sustainability education in Norway,Higher education institutions; sustainability education; competencies; change agents; policy; serious gaming; KEY COMPETENCES; UNIVERSITIES,This study aims to assess possible pathways to implementing sustainability through higher education. The focus is on teaching and learning the competencies deemed necessary for achieving the Sustainable Development Goals. We link the topic of education to theories of sustainability transitions. Agai,,
MarTow_2019,Toward the Integration of SDGs in Higher Planning Education: Insights from Integrated Urbanism Study Program in Belgrade,curriculum development; skills; learning objectives; post-socialist country; Serbia; SUSTAINABLE DEVELOPMENT; UNIVERSITIES,"With the adoption of the UN Agenda 2030, UNESCO has put forward new recommendations to integrate Sustainable Development Goals (SDGs) into the teaching process. In particular, SDG 11-Sustainable cities and communities-is aimed at education in the field of urban planning. In parallel with this, the G",,
