1	2	139
1	3	67
1	4	6
1	5	50
1	6	28
1	7	128
1	8	29
1	9	13
1	10	21
1	11	60
1	12	14
1	13	40
1	14	10
1	15	7
1	16	2
1	17	109
1	18	30
1	19	112
1	20	91
1	22	5
1	23	17
1	24	21
1	25	2
1	26	2
1	27	8
1	28	57
1	29	16
1	30	36
1	31	9
1	32	61
1	33	23
1	34	25
1	35	6
1	36	48
1	37	6
1	38	43
1	39	4
1	40	10
1	41	36
1	42	6
1	43	6
1	44	21
1	45	24
1	46	30
1	47	6
1	48	80
1	49	25
1	50	4
1	51	15
1	52	22
1	53	8
1	54	37
1	55	20
1	56	13
1	57	17
1	58	28
1	59	33
1	60	21
1	61	19
1	62	12
1	63	40
1	64	1
1	65	21
1	66	10
1	67	4
1	68	12
1	69	14
1	71	2
1	72	2
1	73	7
1	74	4
1	75	4
1	76	9
1	77	6
1	79	4
1	80	9
1	81	5
1	82	10
1	83	4
1	84	12
1	85	2
1	86	4
1	87	8
1	88	3
1	89	1
2	3	122
2	4	7
2	5	40
2	6	39
2	7	239
2	8	37
2	9	13
2	10	26
2	11	88
2	12	13
2	13	120
2	14	18
2	15	16
2	16	9
2	17	229
2	18	59
2	19	74
2	20	46
2	22	8
2	23	24
2	24	26
2	25	7
2	26	7
2	27	6
2	28	219
2	29	31
2	30	135
2	31	46
2	32	94
2	33	37
2	34	67
2	35	11
2	36	119
2	37	10
2	38	107
2	40	8
2	41	45
2	42	8
2	43	8
2	44	35
2	45	79
2	46	68
2	47	13
2	48	36
2	49	35
2	50	11
2	51	35
2	52	31
2	53	13
2	54	76
2	55	16
2	56	7
2	57	5
2	58	9
2	59	76
2	60	84
2	61	29
2	62	23
2	63	23
2	65	17
2	66	12
2	67	2
2	68	30
2	69	9
2	70	6
2	71	2
2	72	2
2	73	6
2	74	2
2	75	2
2	76	11
2	77	8
2	79	7
2	80	2
2	81	9
2	82	53
2	83	4
2	84	4
2	85	3
2	86	5
2	87	14
2	88	3
2	89	6
3	4	57
3	5	25
3	6	68
3	7	93
3	8	23
3	9	7
3	10	11
3	11	26
3	12	6
3	13	38
3	14	13
3	15	7
3	16	7
3	17	74
3	18	27
3	19	43
3	20	20
3	22	7
3	23	15
3	24	12
3	25	7
3	26	7
3	27	4
3	28	39
3	29	11
3	30	23
3	31	9
3	32	48
3	33	16
3	34	34
3	35	3
3	36	37
3	37	3
3	38	21
3	40	6
3	41	41
3	42	5
3	43	5
3	44	17
3	45	106
3	46	23
3	47	5
3	48	23
3	49	22
3	50	3
3	51	14
3	52	12
3	53	27
3	54	75
3	55	12
3	56	5
3	57	5
3	58	5
3	59	30
3	60	15
3	61	19
3	62	12
3	63	19
3	64	1
3	65	11
3	66	4
3	67	2
3	68	16
3	69	11
3	71	2
3	72	2
3	73	6
3	74	1
3	75	1
3	76	9
3	77	7
3	79	14
3	81	5
3	82	6
3	84	2
3	85	1
3	86	4
3	87	23
3	88	2
3	89	5
4	5	1
4	6	5
4	7	6
4	10	1
4	11	3
4	12	1
4	13	3
4	14	2
