id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
364	Will (2018)	-2.2818	-0.8723	11	159	259	2	2018	<b>Professional, methodical and didactical facets of ESD in a masters course curriculum—a case study from germany</b><br><i>World Sustainability Series</i><br>Year: 2018<br>Citations: 2	https://doi.org/10.1007/978-3-319-70281-0_19
365	Murga-Menoyo (2018)	-2.3501	-0.8118	11	117	160	2	2018	<b>Transition Towards Sustainability in Hull University Business School: A Study of Curricular Sustainability in the Teaching Processes</b><br><i>World Sustainability Series</i><br>Year: 2018<br>Citations: 2	https://doi.org/10.1007/978-3-319-63007-6_48
366	Khalaim (2021)	-2.1696	-0.9263	11	56	76	1	2021	<b>Change project approach for reorienting university teaching towards the implementation of sustainability principles</b><br><i>World Sustainability Series</i><br>Year: 2021<br>Citations: 1	https://doi.org/10.1007/978-3-030-63399-8_17
367	Cassar (2022)	-2.293	-0.7718	11	104	141	8	2022	<b>Designing curriculum about governance and sustainability in higher education: A case study</b><br><i>Contemporary Studies in Economic and Financial Analysis</i><br>Year: 2022<br>Citations: 8	https://doi.org/10.1108/s1569-37592022000108a030
368	Espinoza-Ramos (2025)	0.3884	2.482	5	205	341	0	2025	<b>Embedding Sustainability in Curricula: A Case Study of an Education for Sustainable Development (ESD) Framework at the Westminster Business School</b><br><i>CSR, Sustainability, Ethics and Governance</i><br>Year: 2025<br>Citations: 0	https://doi.org/10.1007/978-3-031-86337-0_16
369	Verhulst (2023)	-1.2477	2.1253	7	168	291	4	2023	<b>Engaging and Empowering Students to Contribute to Sustainable Development Through Developing Interdisciplinary Teamwork Skills</b><br><i>Sustainable Practices in Higher Education: Finance, Strategy, and Engagement</i><br>Year: 2023<br>Citations: 4	https://doi.org/10.1007/978-3-031-27807-5_2
370	Cassar (2023)	-1.3135	1.8742	7	8	8	2	2023	<b>Moving Towards Sustainability Through Geographical Education in Malta</b><br><i>World Sustainability Series</i><br>Year: 2023<br>Citations: 2	https://doi.org/10.1007/978-3-031-22856-8_16
371	Schmitt (2018)	-2.3515	-0.9586	11	55	61	14	2018	<b>Sustainability at German Universities: The University of Hamburg as a Case Study for Sustainability-Oriented Organizational Development</b><br><i>World Sustainability Series</i><br>Year: 2018<br>Citations: 14	https://doi.org/10.1007/978-3-319-63007-6_39
372	Rath (2017)	-2.2604	-0.9332	11	73	90	22	2017	<b>Sustainability at Universities: Degrees of Institutionalization for Sustainability at German Higher Education Institutions—A Categorization Pattern</b><br><i>World Sustainability Series</i><br>Year: 2017<br>Citations: 22	https://doi.org/10.1007/978-3-319-47868-5_28
373	Winter (2016)	-2.2884	-0.8548	11	105	148	14	2016	<b>The University as a Site of Socialisation for Sustainability Education</b><br><i>World Sustainability Series</i><br>Year: 2016<br>Citations: 14	https://doi.org/10.1007/978-3-319-32928-4_7
374	Granato (2023)	-0.8677	2.4591	7	1	1	1	2023	<b>An Architectural Teaching and Learning Framework: Tackling the Implementation of SDGs in Architectural Education</b><br><i>Sustainable Development Goals Series</i><br>Year: 2023<br>Citations: 1	https://doi.org/10.1007/978-3-031-36640-6_56
