1	2	3
1	3	456
1	4	5
1	5	102
1	7	33
1	8	2
1	11	9
1	12	18
1	13	25
1	14	12
1	15	3
1	16	16
1	17	24
1	18	14
1	19	114
1	20	22
1	21	2
1	22	34
1	23	11
1	24	101
1	25	78
1	26	25
1	27	5
1	28	11
1	29	2
1	30	12
1	31	1
1	32	11
1	33	14
1	34	11
1	35	11
1	36	43
1	37	23
1	38	30
1	39	2
1	40	30
1	41	18
1	42	10
1	43	7
1	44	16
1	45	7
1	46	5
1	47	2
1	48	10
1	50	2
1	51	4
1	52	4
1	53	6
1	54	19
1	55	9
1	56	16
1	57	2
1	58	248
1	59	4
1	60	6
1	61	9
1	62	5
1	63	9
1	65	2
1	66	3
1	67	2
1	68	22
1	69	5
1	70	15
1	71	14
1	72	12
1	73	4
1	75	8
1	76	9
1	77	13
1	78	3
1	80	37
1	81	2
1	82	4
1	83	6
1	84	6
1	85	12
1	87	3
1	88	1
1	89	16
1	91	6
1	93	4
1	94	9
1	95	1
1	96	2
1	97	6
1	98	7
1	99	11
1	100	6
1	101	12
1	102	5
1	103	5
1	104	3
1	105	1
1	106	17
1	107	9
1	108	24
1	110	1
1	111	2
1	112	10
1	113	13
1	114	13
1	115	1
1	117	9
1	118	6
2	3	1
2	5	1
2	7	1
2	11	1
2	13	2
2	19	1
2	24	1
2	25	1
2	32	1
2	33	1
2	40	1
2	44	1
2	48	1
2	58	1
2	70	1
2	71	1
2	77	1
2	80	1
2	84	1
2	106	1
2	114	1
3	4	10
3	5	106
3	6	1
3	7	42
3	8	1
3	11	10
3	12	10
3	13	22
3	14	12
3	15	2
3	16	14
3	17	24
3	18	10
3	19	83
3	20	19
3	21	3
3	22	39
3	23	12
3	24	113
3	25	66
3	26	25
3	27	4
3	28	11
3	29	3
3	30	15
3	31	1
3	32	8
3	33	17
3	34	10
3	35	10
3	36	37
3	37	25
3	38	30
3	39	2
3	40	32
3	41	14
3	42	11
3	43	3
3	44	18
3	45	5
3	46	7
3	47	2
3	48	18
3	51	2
3	52	4
3	53	6
3	54	21
3	55	8
3	56	20
3	57	6
3	58	251
3	59	4
3	60	7
3	61	3
3	62	7
3	63	8
3	65	2
3	66	4
3	67	5
3	68	22
3	70	10
3	71	8
3	72	11
3	73	4
3	75	7
3	76	3
3	77	13
3	78	4
3	80	38
3	81	1
3	82	5
3	83	7
3	84	6
3	85	9
3	86	7
3	87	6
3	88	1
3	89	18
3	90	3
3	91	10
3	93	3
3	94	6
3	95	1
3	96	2
3	97	6
3	98	8
3	99	9
3	100	4
3	101	12
3	102	5
3	103	6
3	104	2
3	105	4
3	106	15
3	107	9
3	108	27
3	110	1
3	111	4
3	112	9
3	113	12
3	114	12
3	115	1
3	117	15
3	118	7
4	5	2
4	16	2
4	19	1
4	22	1
4	23	1
4	24	1
4	25	2
4	36	1
4	37	2
4	38	2
4	41	1
4	44	2
4	58	4
4	68	1
4	73	1
4	77	1
4	80	2
4	87	1
4	89	1
4	106	1
4	108	1
5	7	11
5	11	3
5	12	5
5	13	9
5	14	3
5	16	6
5	17	7
5	18	4
5	19	25
5	20	8
5	22	15
5	23	8
5	24	24
5	25	24
5	26	11
5	27	1
5	29	1
5	30	6
5	31	1
5	32	3
5	33	11
5	34	3
5	35	1
5	36	11
5	37	8
5	38	12
5	39	2
5	40	12
5	41	2
5	42	4
5	43	3
5	44	10
5	45	1
5	46	3
5	47	2
5	48	5
5	51	1
5	53	4
5	54	4
5	55	3
5	56	7
5	57	2
5	58	76
5	59	2
5	60	2
5	61	1
5	62	1
5	63	2
5	65	1
5	66	1
5	67	2
5	68	10
5	70	8
5	71	5
5	73	2
5	75	4
5	76	1
5	77	7
5	78	1
5	80	8
5	81	2
5	82	2
5	83	4
5	84	2
5	85	2
5	87	4
5	89	7
5	91	7
5	93	2
5	94	1
5	95	1
5	97	1
5	98	1
5	99	2
5	100	1
5	101	3
5	102	1
5	103	3
5	104	1
5	105	2
5	106	7
5	108	9
5	111	1
5	112	3
5	113	4
5	114	4
5	115	1
5	117	4
5	118	1
6	18	1
6	24	1
6	36	1
6	58	2
6	63	1
6	77	1
7	11	1
7	12	1
7	13	10
7	14	2
7	17	4
7	18	2
7	19	9
7	20	2
7	23	3
7	24	14
7	25	8
7	26	3
7	28	1
7	30	2
7	32	2
7	33	2
7	34	1
7	36	4
7	37	2
7	38	2
7	39	1
7	40	4
7	41	3
7	44	4
7	46	1
7	47	1
7	48	3
7	53	1
7	55	2
7	56	4
7	57	1
7	58	33
7	60	1
7	61	1
7	63	2
7	65	1
7	68	2
7	70	2
7	71	3
7	77	3
7	78	1
7	80	2
7	81	1
7	84	1
7	85	2
7	87	1
7	89	3
7	91	2
7	93	1
7	98	2
7	99	2
7	100	1
7	101	2
7	102	1
7	103	2
7	104	1
7	106	2
7	107	2
7	108	2
7	111	1
7	112	4
7	113	2
7	114	1
7	117	2
7	118	1
8	25	1
8	36	1
8	38	1
8	52	1
8	58	1
8	61	1
8	100	1
8	114	2
11	12	1
11	13	2
11	14	1
11	16	2
11	17	1
11	19	4
11	22	1
11	23	1
11	24	7
11	25	3
11	29	2
11	30	2
11	31	1
11	32	1
11	33	2
11	34	1
11	36	2
11	37	1
11	38	1
11	40	2
11	43	1
11	44	2
11	46	1
11	48	1
11	55	1
11	57	1
11	58	8
11	67	1
11	68	2
11	70	2
11	71	2
11	73	1
11	77	1
11	80	3
11	81	1
11	82	1
11	83	1
11	84	1
11	87	1
11	89	1
11	93	1
11	103	1
11	106	2
11	108	1
11	111	1
11	113	2
11	114	1
12	13	2
12	14	1
12	16	2
12	17	2
12	18	1
12	19	7
12	23	2
12	24	3
12	25	8
12	29	1
12	30	1
12	33	2
12	34	1
12	36	2
12	37	2
12	38	2
12	40	1
12	42	1
12	44	2
12	46	2
12	54	1
12	55	1
12	56	1
12	57	1
12	58	5
12	67	1
12	68	3
12	70	2
12	71	1
12	77	1
12	80	2
12	82	1
12	83	2
12	87	2
12	89	2
12	93	1
12	96	1
12	101	1
12	103	3
12	106	1
12	108	1
12	111	1
12	113	1
13	14	1
13	17	1
13	19	8
13	20	1
13	22	1
13	23	2
13	24	6
13	25	6
13	26	2
13	30	1
13	32	2
13	33	2
13	36	1
13	39	1
13	40	5
13	41	1
13	42	2
13	43	1
13	44	2
13	48	2
13	55	2
13	56	3
13	57	2
13	58	13
13	60	1
13	65	1
13	68	3
13	70	2
13	71	2
13	72	1
13	73	1
13	75	1
13	76	1
