1	11	1
1	49	1
1	58	1
1	64	1
1	7	1
1	2	1
1	20	1
1	19	1
1	81	1
1	59	1
1	5	1
1	85	1
2	11	2
2	7	2
2	17	2
2	28	2
2	30	1
2	47	1
2	38	1
2	45	1
2	3	1
2	13	1
2	18	1
2	31	1
2	55	1
2	36	2
2	61	2
2	71	1
2	60	1
2	34	1
2	52	1
2	83	1
3	4	1
3	6	1
3	45	2
3	54	1
3	34	1
3	7	1
3	55	1
3	41	1
3	80	1
3	50	1
3	88	1
5	56	1
5	19	1
6	7	1
6	8	2
6	9	1
6	45	1
7	8	1
7	9	1
7	11	1
7	17	3
7	21	1
7	22	1
7	35	1
7	36	2
7	29	3
7	41	2
7	38	1
7	57	1
7	34	1
7	13	2
7	52	2
7	55	3
7	53	1
7	33	1
7	72	1
7	73	1
7	67	1
7	28	1
7	75	1
7	76	1
7	68	1
7	59	1
7	69	1
7	19	1
7	12	1
7	32	1
7	86	1
7	30	1
8	9	1
8	40	1
8	57	1
11	17	2
11	24	2
11	47	1
11	52	1
11	49	1
12	57	1
12	59	1
12	69	1
12	19	1
13	14	1
13	15	1
13	16	1
13	31	1
13	17	1
13	57	1
14	15	1
14	16	1
15	16	1
15	37	1
15	38	1
16	25	1
16	26	1
16	79	1
17	24	2
17	30	2
17	51	1
17	36	3
17	61	1
17	31	1
17	55	1
17	75	1
17	76	1
17	68	1
17	49	1
18	19	1
18	41	1
18	40	1
18	32	1
18	55	1
19	32	2
19	41	1
19	40	1
19	64	1
19	59	1
19	69	1
19	89	1
20	32	1
21	22	1
23	32	1
25	26	1
27	39	1
27	40	1
28	38	1
28	67	1
28	55	1
29	35	2
29	36	1
29	50	1
30	86	1
31	55	1
32	33	1
32	41	4
32	40	1
32	55	1
32	62	1
35	36	1
36	49	1
36	59	1
36	60	2
36	61	2
37	38	1
38	57	1
38	80	1
39	40	1
40	41	2
40	57	1
41	59	1
41	62	1
42	43	1
42	44	1
43	44	1
45	50	1
49	55	1
50	77	1
50	78	1
52	72	1
52	73	1
53	62	1
55	67	1
59	69	1
60	61	1
60	69	1
68	75	1
68	76	1
72	73	1
75	76	1
77	78	1
