id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
467	Journal of Continuing Education in the Health Professions	-0.7191	2.6239	12	4	8	2			
468	UWE Research Repository (UWE Bristol)	2.6212	0.2203	2	4	8	2			
469	Journal of Elementary Science Education	1.5728	1.6015	6	3	6	2			
470	Child Development	-0.8204	2.5097	13	4	8	2			
471	Journal of Air Transport Management	1.4879	1.6936	6	5	10	2			
472	Qualitative Inquiry	-0.7311	2.4623	12	13	29	3			
473	British Journal of Educational Psychology	-0.7881	1.9626	13	1	2	2			
474	Revista de Investigación Educativa	-2.9304	0.0061	20	3	6	2			
475	Teaching & Learning Inquiry The ISSOTL Journal	-0.8838	2.1067	13	3	6	2			
476	Social Science Open Access Repository (GESIS – Leibniz Institute for the Social Sciences)	2.7555	0.1102	1	10	20	3			
477	Teaching Sociology	-2.0887	1.1355	17	24	68	7			
478	Biological Conservation	-1.1018	2.1422	13	3	8	4			
479	J.B. Metzler eBooks	-0.7889	2.5138	12	6	14	3			
480	Strategies for sustainability	-0.4225	2.4237	12	4	10	3			
481	Eurasia Journal of Mathematics Science and Technology Education	1.7597	1.9587	6	34	97	10			
482	Environmental Management	2.3345	0.9044	3	0	0	2			
483	Information Technologies and Learning Tools	-0.8474	2.6449	13	1	2	2			
484	Food Quality and Preference	-1.2232	2.3176	13	3	6	2			
485	International Journal of Management Reviews	2.3949	0.2175	2	5	10	2			
486	Ecological Economics	-0.5687	2.4652	12	61	214	21			
487	Journal of International and Intercultural Communication	-1.8884	1.2791	17	5	10	2			
488	International Journal of Science and Mathematics Education	1.7094	1.9096	6	19	49	5			
489	Journal of Sustainable Development	-0.9708	2.3472	13	14	41	6			
490	International Journal of Architectural Research Archnet-IJAR	1.577	1.7936	6	8	19	4			
491	IATSS Research	-2.1907	-0.2853	20	13	26	2			
492	Psychological Bulletin	2.4144	0.5701	2	23	58	6			
493	Leisure Studies	2.198	1.137	4	0	0	2			
494	QRU Quaderns de Recerca en Urbanisme	-1.1529	2.3498	13	5	13	3			
495	Asia Pacific Journal of Management	2.3609	0.6067	2	8	16	2			
496	Journal of Teaching in International Business	1.8742	1.6434	6	4	8	2			
497	Journal of Physical Therapy Education	-2.4898	0.9767	17	8	17	3			
498	Canadian Journal of Higher Education	1.6518	1.8227	6	51	157	14			
