id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
184	sustainability literacy	2.5834	-0.0623	1	19	64	17	2022.24		
185	portugal	1.6438	1.5292	2	2	5	3	2019.33		
186	campus sustainability	2.8249	-0.0041	1	2	4	2	2022.0		
187	opportunities	1.5212	1.6801	2	2	4	3	2024.0		
188	design thinking	1.8837	1.7548	2	9	23	8	2023.62		
189	roles	0.2044	2.7665	3	2	4	2	2021.0		
190	case study	2.4752	-0.2925	1	5	11	7	2021.0		
191	planning education	-2.1793	0.0866	5	2	4	2	2025.0		
192	urban planning	-2.0971	-1.5706	6	4	8	4	2022.5		
193	communication	2.7072	0.2621	1	3	6	3	2022.67		
194	assessment	2.3981	0.0357	1	10	21	7	2020.71		
195	sustainability competence	2.3238	-0.0429	1	6	13	5	2023.8		
196	models	-1.5813	-1.4181	6	1	2	2	2024.5		
197	attitude	1.9174	2.0986	2	1	2	2	2022.5		
198	program	2.5067	-0.2198	1	5	11	4	2021.5		
199	higher education for sustainable development (hesd)	-2.2971	0.2048	5	1	2	2	2022.5		
200	constructive alignment	2.4729	-0.4172	1	1	2	2	2020.5		
201	professional-development	-2.2165	0.1577	5	2	4	3	2019.33		
202	environmental-education	-2.5446	-0.2667	5	4	8	3	2023.0		
203	malaysia	2.6557	0.2696	1	2	4	2	2023.0		
204	development esd	1.5726	1.6348	2	2	4	3	2022.33		
205	statistical analysis	2.4243	0.3439	1	1	2	2	2019.5		
206	united arab emirates	2.2522	0.1764	1	2	4	2	2024.0		
207	local participation	-1.5576	-1.9246	6	3	6	3	2023.33		
208	barriers	1.9287	1.8776	2	9	22	7	2022.0		
209	organizational-change	2.1143	2.0938	2	1	2	2	2020.5		
210	problem-based learning (pbl)	-0.3238	2.4236	3	1	2	3	2023.67		
211	emotions	-2.2129	0.0354	5	1	2	3	2023.0		
212	beliefs	-2.2256	-0.0396	5	1	2	3	2023.67		
213	colombia	-2.6434	0.0494	5	6	15	4	2022.0		
214	cognitive theory	1.972	1.4512	2	1	2	2	2023.0		
215	pro-environmental behavior	1.9349	1.7608	2	3	7	3	2023.67		
216	survey method	-1.92	-1.6591	6	7	14	3	2022.0		
217	public attitude	-1.6477	-1.7408	6	11	36	5	2022.6		
218	china	-2.7983	-0.098	5	4	8	4	2023.75		
219	qatar	-2.607	0.1823	5	3	8	3	2023.33		
220	consumption	2.3153	0.0908	1	7	16	4	2022.5		
221	quantitative analysis	2.4029	-0.0983	1	7	16	3	2023.0		
222	equity	-2.8108	-0.0482	5	2	4	2	2021.0		
223	institutions	1.6953	1.7079	2	9	26	7	2023.43		
224	sdgs	2.3799	-0.0196	1	26	85	19	2022.63		
225	strategies	-2.7338	-0.1993	5	1	2	2	2022.0		
226	whole-institution approach	2.125	-0.1031	1	1	2	2	2019.0		
227	partnerships	2.5669	0.3559	1	1	2	2	2022.0		
228	vulnerability	-2.2549	1.7135	4	1	2	2	2021.0		
229	integrated approach	2.5143	0.1571	1	4	8	3	2020.0		
230	experimental design	2.3168	0.2727	1	2	4	2	2020.0		
231	curricular sustainability	1.9084	1.5962	2	3	7	4	2020.5		
232	sustainable education	-2.8122	0.0512	5	1	2	2	2022.0		
