id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
342	Yogyakarta State University	-2.3465	-0.8836	126	6	6	2	2024.5		
343	Université de Lorraine	-2.515	-0.7758	127	1	1	1	2025.0		
344	Universidad de León	-2.0735	-1.2106	127	1	1	1	2025.0		
345	Camilo José Cela University	-2.2671	-1.1159	128	0	0	2	2018.5		
346	Universitat de València	-2.4554	-0.9035	129	1	1	1	2025.0		
347	Universidad de Murcia	-2.014	-1.3382	129	1	1	1	2025.0		
348	Seoul National University of Education	-2.2476	-0.9077	130	4	4	1	2025.0		
349	Northumbria University	-2.0032	-1.3809	130	4	4	1	2025.0		
350	Adam Mickiewicz University in Poznań	-2.327	-1.4313	130	4	4	1	2025.0		
351	Nkumba University	-2.4784	-1.1413	130	4	4	1	2025.0		
352	Seoul National University	-1.9548	-1.0556	130	4	4	1	2025.0		
353	National Chiayi University	-2.5879	-0.3551	114	3	3	1	2025.0		
354	National Sun Yat-sen University	-2.2478	-0.1959	114	3	3	1	2025.0		
355	Empowerment Program	-2.4076	0.1439	114	3	3	1	2025.0		
356	Royal Agricultural University	1.3842	1.9799	37	3	3	1	2025.0		
357	Université Paris-Saclay	1.3098	1.9165	37	3	3	1	2025.0		
358	Sumy National Agrarian University	1.2424	1.9873	37	3	3	1	2025.0		
359	Yenepoya University	-2.1109	-1.2073	131	0	0	1	2024.0		
360	University of the Sunshine Coast	-2.3528	-1.0881	132	1	1	1	2024.0		
361	Rowan University	-1.9113	-1.5229	132	1	1	1	2024.0		
362	Bowling Green State University	-2.0549	-1.4105	133	0	0	1	2025.0		
363	National University of Modern Languages	-2.5101	-0.403	122	2	2	2	2023.5		
364	Universidad Pontificia Bolivariana	-1.8344	-1.6409	134	1	1	2	2024.5		
365	Wolaita Sodo University	-1.9441	-1.5509	135	0	0	1	2025.0		
366	Universidad Nacional de Itapúa	-1.3963	2.1735	78	5	5	1	2025.0		
