Score;Title_A;Source_A;DOI_A;Title_B;Source_B;DOI_B;Author1_A;Author1_B
86.9;SYNTHESIS OF RESEARCH IN HIGHER EDUCATION FOR SUSTAINABLE DEVELOPMENT;Scopus;10.4324/9781315852249-13;STATE OF THE ART IN RESEARCH ON HIGHER EDUCATION FOR SUSTAINABLE DEVELOPMENT;Scopus;10.4324/9781315852249-10;rickinson;barth
86.3;Education for sustainable development in France;Scopus;10.1007/978-3-319-09549-3_17;Education for sustainable development in Finland;Scopus;10.1007/978-3-319-09549-3_13;ricard;åhlberg
